1 2 3 4 5
version_number initial_mass initial_z burn_min1 burn_min2
7623 1.5000000000000000E+001 2.0000000000000000E-002 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_degeneracy center_h1 center_he4 center_c12 center_n14 center_o16 center_o18 center_ne22 dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass he_core_radius c_core_radius o_core_radius surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.4999999999999359E+001 4.1616756114697262E+000 2.5233930827146027E+000 3.5403517797364432E+000 5.4771283873367711E+000 -5.4206981101011795E+000 8.2371301027084023E+000 -1.2929402470588688E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126606E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5760774888707653E+007 1.0906699882656276E+003 1.0337502975975106E+007 -2.1787650217326586E+001 -8.2114369556460105E+001 -9.8999999999999986E+001 -2.1787650217326586E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3185518056581760E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.4136806649115465E-008
2 2.2000000000000003E-005 1.4999999999998586E+001 4.1648517511789986E+000 2.5234369106798145E+000 3.5411239006811561E+000 5.4770847169647796E+000 -5.4208392072074183E+000 8.2369468425039933E+000 -1.2929571270942690E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126597E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5763160879116245E+007 1.0826133924895687E+003 1.0262177162271475E+007 -2.1788114679678785E+001 -8.2115977288413262E+001 -9.8999999999999986E+001 -2.1788114679678785E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3185982518934363E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.4566527629393195E-008
3 3.6400000000000004E-005 1.4999999999997650E+001 4.1683164551437279E+000 2.5234838399726414E+000 3.5419666120259250E+000 5.4770380472308062E+000 -5.4209833415721844E+000 8.2367555896304925E+000 -1.2929736137390137E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5765716105971364E+007 1.0738948557125989E+003 1.0180633515615555E+007 -2.1788616744517636E+001 -8.2117776554498164E+001 -9.8999999999999986E+001 -2.1788616744517636E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3186484583773634E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.5047019019374704E-008
4 5.3680000000000001E-005 1.4999999999996518E+001 4.1720625469647423E+000 2.5235091225335751E+000 3.5428904937007113E+000 5.4770146509288180E+000 -5.4209481443464380E+000 8.2367547407136001E+000 -1.2929577112197876E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5767092873690316E+007 1.0646096233851156E+003 1.0093196120418102E+007 -2.1788620762119667E+001 -8.2117790930577542E+001 -9.8999999999999986E+001 -2.1788620762119667E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3186488601375665E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.5575110596060756E-008
5 7.4416000000000000E-005 1.4999999999995145E+001 4.1761193393508869E+000 2.5235366152046117E+000 3.5438909454617296E+000 5.4769919563496527E+000 -5.4209139527206602E+000 8.2367534048166213E+000 -1.2929424643516541E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5768590129920771E+007 1.0546445252560197E+003 9.9993534482076336E+006 -2.1788623406487421E+001 -8.2117809126655942E+001 -9.8999999999999986E+001 -2.1788623406487421E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3186491245743415E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.6147038675053332E-008
6 9.9299199999999986E-005 1.4999999999993483E+001 4.1804735380287337E+000 2.5235665301715633E+000 3.5449645376477150E+000 5.4769708235391628E+000 -5.4208815244575996E+000 8.2367536318896644E+000 -1.2929275631904602E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5770219466383252E+007 1.0440516616132377E+003 9.8996016876150761E+006 -2.1788631941780178E+001 -8.2117848925924363E+001 -9.8999999999999986E+001 -2.1788631941780178E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3186499781036176E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.6772047116811888E-008
7 1.2915903999999998E-004 1.4999999999991468E+001 4.1850718651485357E+000 2.5235981536451031E+000 3.5460983076908952E+000 5.4769515617922062E+000 -5.4208530526260592E+000 8.2367528288452583E+000 -1.2929145097732544E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126606E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5771942040726796E+007 1.0329802979696926E+003 9.7953372660857495E+006 -2.1788639130086676E+001 -8.2117875461524463E+001 -9.8999999999999986E+001 -2.1788639130086676E+001 -9.8999999999999986E+001 -3.7327719462333661E+001 -2.3186506969342673E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.7449510901656773E-008
8 1.6499084799999998E-004 1.4999999999989026E+001 4.1898278792127233E+000 2.5236310283376699E+000 3.5472708738606591E+000 5.4769340038849803E+000 -5.4208284735108068E+000 8.2367504594890910E+000 -1.2929030418395996E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5773732970172117E+007 1.0216523764477852E+003 9.6886525081993770E+006 -2.1788650112685090E+001 -8.2117920069567731E+001 -9.8999999999999986E+001 -2.1788650112685090E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3186517951941088E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.8172426976851910E-008
9 2.0798901759999997E-004 1.4999999999986059E+001 4.1946327109910175E+000 2.5236868972135689E+000 3.5484441473672832E+000 5.4768977056003978E+000 -5.4209844531714175E+000 8.2365649327570818E+000 -1.2929256439208986E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126606E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5776777030590769E+007 1.0102816128475300E+003 9.5820525449901782E+006 -2.1789132098512834E+001 -8.2119626207338115E+001 -9.8999999999999986E+001 -2.1789132098512834E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3186999937769244E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.8928312168863298E-008
